concept_class_id,concept_class_name,concept_class_concept_id
Discharge Status,Discharge Status,44819083
Disease Dynamic,Disease Dynamic,32938
Disease Extent,Disease Extent,32524
Disinfectant,Non-human drug class Disinfectant,240
Disposition,Disposition,32538
DNA Variant,DNA Variant,32924
Doc Kind,LOINC Document Kind,32452
Doc Role,LOINC Document Role,32451
Doc Setting,LOINC Document Setting,32453
Doc Subject Matter,LOINC Document Subject Matter Domain,32449
Doc Type of Service,LOINC Document Type of Service,32450
Domain,Domain,44819025
Dose Form,Dose Form,44819066
Dose Form Group,Dose Form Group,5023
DRG,Disease-related Group,44819250
DRG Type,Disease Related Group Type,45754799
Drug,Drug,44819251
Drug Class,Drug Class,44818993
Drug Cohort,Drug Cohort,44819024
Drug Exposure Type,Drug Exposure Type,44819078
Drug form,Drug form,45905734
Drug Interaction,Drug Interaction,44819069
Drug Product,Drug Product,44819040
Drug Type,Drug Type,44819252
Ear Disease,Diseases of the ear and mastoid process,44819174
Encounter Type,Encounter Type,44819084
Endocrine Disease,"Endocrine, nutritional and metabolic diseases",44819170
Enrollment Basis,Enrollment Basis,44819038
Episode of Care,Episode of Care,32526
Episode Type,Episode Type,32543
ETC,Enhanced Therapeutic Classification,44819082
Ethnicity,Ethnicity,44819035
Event,Event,44819056
Extension/Invasion,Local cancer growth and invasion into adjacent tissue and organs,32934
External Cause,External causes of morbidity,44819186
Eye Disease,Diseases of the eye and adnexa,44819173
Field,OMOP CDM Table Field,32487
Finding,Finding,45905713
Food,Non-human drug class Food,46274137
Form,dm+d Dose Form,5006
Frequency,Frequency,45905730
Frequency code,Frequency code,32038
Full,Full,32039
GCN_SEQNO,GCN_SEQNO,44819254
Gemscript,Gemscript,44819253
Gemscript THIN,Encrypted Gemscript for the THIN database,5000
Gender,Gender,44819086
Genetic Variation,Genetic Variation,32925
Genitourinary Dis,Diseases of the genitourinary system,44819180
GPI,Generic Product Identifier,44819255
HCPCS,Healthcare Common Procedure Coding System,44819256
HCPCS Class,HCPCS Class,45754688
HCPCS Modifier,HCPCS Modifier,45754687
Health Service,Factors influencing health status and contact with health services,44819187
HES Specialty,HES Specialty,44819257
Hispanic,Hispanic,44819085
Histopattern,Histological patterns of cancer tissue,32936
HLGT,High Level Group Term,44818990
HLT,High Level Term,44819018
ICD10 Chapter,ICD10 Chapter,32742
ICD10 code,ICD10 code,44819258
ICD10 Hierarchy,ICD10 Hierarchy,45754906
ICD10 Histology,ICD10 Histology,32741
ICD10 SubChapter,ICD10 SubChapter,32743
ICD10PCS,ICD10PCS Code,260
ICD10PCS Hierarchy,ICD10PCS Hierarchical Code,259
ICD9CM code,ICD9CM code,44819259
ICD9CM E code,ICD9CM E code,44819260
ICD9CM non-bill code,ICD9CM non-billable code,45754823
ICD9CM V code,ICD9CM V code,44819261
ICD9Proc Chapter,ICD9Proc Chapter,32746
ICD9Proc non-bill,ICD9Proc non-billable code,45754824
ICDO Condition,ICDO Condition,581435
ICDO Histology,ICDO Histology,581434
ICDO Topography,ICDO Topography,581433
Imaging Material,Non-human drug class Imaging Material,241
Inactive Concept,Inactive Concept,45754796
Ind / CI,Indication or Contra-Indication,44819042
Indication,Indication,44819262
Indicator,Indicator,45905727
Infectious Disease,Certain infectious and parasitic diseases,44819188
Ingredient,Ingredient,44818981
Injury,"Injury, poisoning and certain other consequences of external causes",44819185
ISBT Attrib cat,ISBT Attrib cat,581448
ISBT Attrib group,ISBT Attrib group,581447
ISBT Attrib value,ISBT Attrib value,581446
ISBT Category,ISBT Category,581449
ISBT Class,ISBT Class,581444
ISBT Modifier,ISBT Modifier,581445
ISBT Product,ISBT Product,581443
KCD7 code,KCD7 code,32694
Lab Test,Laboratory Class,45754678
LabSet,LabSet,45905716
Language,Language,33070
Life circumstance,Animal life circumstance,32550
Link Assertion,Link Assertion,45754798
Linkage Assertion,Linkage Assertion,45754822
Linkage Concept,Linkage Concept,45754797
LLT,Lowest Level Term,44819081
Location,Environment or Geographical Location,44819011
LOINC,Logical Observation Identifiers Names and Codes,44819263
LOINC Class,LOINC Class,45754677
LOINC Component,LOINC Component,32718
LOINC Document Type,LOINC Document Type,581372
LOINC Group,LOINC Group,32484
LOINC Hierarchy,LOINC Hierarchy,44819264
LOINC Method,LOINC Method,32721
LOINC Property,LOINC Property,32722
LOINC Scale,LOINC Scale,32719
LOINC System,LOINC System,32717
LOINC Time,LOINC Time,32720
Main Heading,Main Heading or Descriptor,46233638
Margin,Tumor resection margins and involvement by cancer cells,32931
Marketed Product,Marketed Product,250
MDC,Major Diagnostic Category,44819265
Meas Class,Measurement Class,44819059
Meas Type,Measurement Type,44819001
Measurement,Measurement,44819071
Mechanism of Action,Mechanism of Action,44819005
Med Product Pack,Medicinal Product Pack (AMT),5037
Med Product Unit,Medicinal Product Unit of Use (AMT),5036
MedDRA,Medical Dictionary for Regulatory Activities,44819266
Medical supply,Medical supply,45905735
Medicinal Product,Medicinal Product (AMT),5038
MEDRT Extension,MEDRT Extension,32536
MedSet,MedSet,45905717
Mental Disease,"Mental, Behavioral and Neurodevelopmental disorders",44819171
Metadata,Metadata,32674
Metal level,Metal level: ratio of split of the healthcare transaction costs between Health Plan and patient,32483
Metastasis,Distant metastases,32937
Misc,Misc,45905719
Misc Order,Misc Order,45905722
Modality,Modality,32690
Model Comp,Model Component,44819058
Module,Module,581408
Monitoring,Health Care Monitoring Topics,45905728
Morph Abnormality,Morphologic Abnormality,44819008
MS-DRG,Medicare Severity Disease-related Group,45757047
Multilex,Multilex,44819267
Multiple Ingredients,Multiple Ingredients,33001
Multum,Multum,44819268
NAACCR Proc Schema,NAACCR Procedure Schema,32651
NAACCR Procedure,NAACCR Procedure,32652
NAACCR Schema,NAACCR Schema,32654
NAACCR Value,NAACCR Value,32653
NAACCR Variable,NAACCR Variable,32655
Namespace Concept,Namespace Concept,44819057
Navi Concept,Navigational Concept,45754795
Neoplasm,Neoplasms,44819168
Nervous Disease,Diseases of the nervous system,44819172
NFC,New Form Code,253
Nodes,Lymph node metastases,32932
Non-Stand Allergenic,Human drug class Non-Standardized Allergenic,45754860
Note Domain,Note Subject Matter Domain Attribute,5051
Note Kind,Kind of Note Attribute,5048
Note Provider Role,Provider Role of Note Attribute,5052
Note Service Type,Service or activity resulting in Note Attribute,5049
Note Setting,Point of Care Setting of Note Attribute,5050
Note Type,Note Type,44819061
NUCC,National Uniform Claim Committee Specialty,44819269
Obs Period Type,Observation Period Type,44819062
Observable Entity,Observable Entity,44819029
Observation,Observation,44819093
Observation Type,Observation Type,44819076
Organism,Organism,44819043
OTC Drug,Human drug class Human OTC Drug,45754858
OXMIS,Oxford Medical Information System,44819271
Patient Status,Patient Status,44819079
Payer,Payer - institution administering healthcare transactions,32479
Perinatal Disease,Certain conditions originating in the perinatal period,44819182
Permissible Range,Permissible Range,32663
Pharma Preparation,Pharmaceutical Preparations,44818983
Pharma Subgroup,3rd Level - Pharmacological Subgroup,44819089
Pharma/Biol Product,Pharmaceutical / Biologic Product,44819007
Pharmacokinetics,Pharmacokinetics,44818984
Pharmacologic Class,Pharmacologic Class,44819006
Physical Force,Physical Force,44819052
Physical Object,Physical Object,44819009
Physician Specialty,OMOP Physician Specialty,32576
Physiologic Effect,Physiologic Effect,44819067
Place of Service,Place Of Service,44818985
Plan Stop Reason,Plan Stop Reason - Reason for termination of the Health Plan,32481
Plasma Derivative,Human drug class Plasma Derivative,45754859
PPI Modifier,PPI Modifier,581409
Precise Ingredient,Precise Ingredient,5022
Precoordinated pair,"Precoordinated (Question-Answer/Variable-Value) pair ",32969
Pregnancy,"Pregnancy, childbirth and the puerperium",44819181
Prescription Drug,Human drug class Human Prescription Drug,45754857
Proc Group,Procedure Group,32958
Proc Hierarchy,Procedure Hierarchy,32737
Procedure,Procedure,44819080
Procedure Code Type,Procedure Code Type,45754802
Procedure Drug,Procedure Drug,44819095
Procedure Occur Type,Procedure Occurrence Type,44819013
Procedure Type,Procedure Type,44819272
Program,Program,45905725
Protein Variant,Protein Variant,32927
Provider,OMOP Provider,32575
Provider Specialty,Health Care Provider Specialty,44819014
PT,Preferred Term,44819017
Qualifier Value,Qualifier Value,44819021
Quality Metric,Quality Metric,44819092
Quant Branded Box,Quantified Branded Drug Box,200
Quant Branded Drug,Quantified Branded Drug,45754863
Quant Clinical Box,Quantified Clinical Drug Box,201
Quant Clinical Drug,Quantified Clinical Drug,45754862
Question,Question,45905715
Question source,Question source,32805
Race,Race,44819030
Radiology,Radiology/Imaging Procedure,45905729
Read,Read,44819273
Record Artifact,Record Artifact,44818999
Regimen,Regimen,32639
Regimen Class,Regimen Class,32794
Regimen type,Regimen type,32636
Relationship,OMOP Relationship,44819274
Respiratory Disease,Diseases of the respiratory system,44819176
Revenue Code,Revenue Code,44819075
RNA Variant,RNA Variant,32923
Route,Route,32638
Skin Disease,Diseases of the skin and subcutaneous tissue,44819178
SMQ,Standardized Meddra Query,44819060
SOC,System Organ Class,44819037
Social Context,Social Context,44819022
Soft Tissue Disease,Diseases of the musculoskeletal system and connective tissue,44819179
Special Code,Codes for special purposes,44819236
Special Concept,Special Concept,44819046
Specialty,Specialty,44819016
Specimen,Specimen,44819055
Specimen Type,OMOP Specimen Type,581377
SPL,SPL,44819276
Sponsor,Sponsor - institution or individual financing healthcare transactions,32480
Staging / Scales,Staging And Scales,44819010
Staging/Grading,Official Grade or Stage System,32933
Standard Allergenic,Human drug class Standardized Allergenic,45754856
Standard Unit,Standard Unit,44819073
State,State,45905724
Substance,Substance,44819050
Summary,Summary,581454
Suppl Concept,Supplementary Concept,46233639
Supplement,Non-human drug class Supplement,46274138
Supplier,"Supplier: Manufacturer, Wholesaler",244
Survey,Surveys,45754681
SUS,SUS,32464
Symptom,Symptom,44819184
Symptom/Finding,Symptom/Finding,45905721
Table,OMOP CDM Table,32486
Test,Test,45905711
Therap Subgroup,2nd Level - Therapeutic Subgroup,44819088
Therapeutic Class,Therapeutic Class,44818995
Topic,Topic,581407
Topography,Cancer topography and anatomical site,32930
Trade Product,Trade Product (AMT),5040
Trade Product Pack,Trade Product Pack (AMT),5039
Trade Product Unit,Trade Product Unit of Use (AMT),5041
Treatment,Treatment,32525
Typ bill 3 digits,Typ bill 3 digits,32040
Type Concept,Type Concept,581453
UB04 Point of Origin,UB04 Point of Origin,32041
UB04 Pri Typ of Adm,UB04 Pri Typ of Adm,32042
UB04 Pt dis status,UB04 Pt dis status,32043
Undefined,Undefined,44819044
Unit,Unit,44819072
Units of Measure,Units of Measure,45905732
US Census Division,United States Census Bureau Division,32572
US Census Region,United States Census Bureau Region,32571
VA Class,VA Class,44819277
VA Product,VA Product,44819278
Vaccine,Human drug class Vaccine,45754855
Vaccine Group,Vaccine Group,33094
Value,Value,32968
Variable,Variable,32967
Variant,Variant,32926
Visit,OMOP Visit,44819023
Visit Type,Visit Type,44819039
Vital Source,Vital Source,45754803
VMP,Virtual Medicinal Product,5004
VMPP,Virtual Medicinal Product Pack,5005
Vocabulary,OMOP Vocabulary,44819279
VTM,Virtual Therapeutic Moiety,5007
Workflow,Workflow,45905723
