concept_id,concept_synonym_name,language_concept_id
46031260,VenoTrain Micro class 1 (18-21mmHg) tights closed toe lymphoedema garment normal short medium Black (Bauerfeind UK) (physical object),4180186
374367,Bilateral hearing loss (disorder),4180186
46187917,"Esteem Synergy+ two piece ostomy system ileostomy bag with filter and InvisiClose outlet, standard 416795 35mm Clear (ConvaTec Ltd) 10 device (physical object)",4180186
4236150,Reptilian group Gammaretroviruses (organism),4180186
2734602,"Medical and Surgical @ Upper Veins @ Occlusion @ Axillary Vein, Right @ Percutaneous Endoscopic @ Intraluminal Device @ No Qualifier",4180186
2734602,"Occlusion R Axilla Vein w Intralum Dev, Perc Endo",4180186
4047070,Coxiella burnetii immunoglobulin A level (procedure),4180186
4047070,Coxiella burnetii immunoglobulin A level,4180186
45603911,"Nondisp fx of 4th metatarsal bone, unsp ft, 7thK",4180186
4221982,Atrial inversion operation with patch,4180186
4221982,Mustard operation,4180186
4221982,Interatrial transposition of venous return (procedure),4180186
4221982,Baffes operation,4180186
4221982,Transposition of interatrial venous return,4180186
4221982,Reconstruction of atrium using atrial patch for transposition of great arteries,4180186
192767,Renal artery injury,4180186
192767,Injury of renal artery (disorder),4180186
46073477,Juzo Attractive class 2 (23-32mmHg) tights closed toe lymphoedema garment short size V Blueberry (Juzo UK Ltd) (physical object),4180186
37396862,Nocardia abscessus complex or Nocardia exalbida (finding),4180186
4087186,Entire helix of ear (body structure),4180186
37394663,Sepsis-related Organ Failure Assessment score,4180186
37394663,Sequential Organ Failure Assessment score (observable entity),4180186
40759939,DEEDS; Emergency Department; EMERGENCY DEPARTMENT (DEEDS); Finding; Findings; Nominal; Point in time; Random,4180186
40759939,Tù«TóÿF»¡sóâ:sÅætÄ¦:µù¦Tù¦té¦:^µéúFÇà:sÉìS¦ësPï,4182948
35621779,Antenatal screening for human immunodeficiency virus refused (situation),4180186
45989520,Esteem Synergy two piece ostomy system colostomy bag standard S1058N 13mm-35mm Opaque (ConvaTec Ltd) (physical object),4180186
4322538,Structure of tributary of brachial vein (body structure),4180186
45772087,Change in nipple,4180186
45772087,Breast symptom of change in nipple (finding),4180186
4262094,Genus Thermomicrobium (organism),4180186
4262094,Genus Thermomicrobium,4180186
37393107,Plasma histidine level (observable entity),4180186
45994934,"Confidence Gold ileostomy bag with overlap, standard DTNW38 38mm Transparent (Salts Healthcare) (physical object)",4180186
36676346,Angioplasty of thoracic artery using fluoroscopic guidance,4180186
36676346,Angioplasty of thoracic artery using fluoroscopic guidance (procedure),4180186
45588831,"Disp fx of less trochanter of l femr, 7thC",4180186
4139169,Open cholelithotomy,4180186
4139169,Open removal of calculus from gallbladder (procedure),4180186
35614615,AlloMax 1180420 acellular human dermal collagen matrix 4cm x 20cm (Bard Inc) (physical object),4180186
44786545,No doc sinus ct 28d or dx,4180186
45601614,"Path fx in oth disease, r femur, subs for fx w malunion",4180186
3033968,Avilamycin Susc Islt,4180186
3033968,sìæT£ët¦á:µèùtöƒt¦áµòÅµäƒµÇº:µù¦Tù¦té¦:sêåtª+µá¬:s«ÜTçÅsPïµêûs¦Åµò¦sPï,4182948
3033968,ANTIBIOTIC SUSCEPTIBILITIES; AST; Islt; Isol; Point in time; Random; Sus; Suscept; Susceptibilities; Susceptibility; Susceptibilty,4180186
37010527,"SenSura Mio Click two piece ostomy system deep convex baseplate 16961 60mm coupling, starter hole 15mm-40mm (Coloplast Ltd) 5 device (physical object)",4180186
4279442,Removal of foreign body from perineum (procedure),4180186
45550147,"Lacerat flxr musc/fasc/tend r lit fngr at wrs/hnd lv, init",4180186
2722685,Medical and Surgical @ Central Nervous System and Cranial Nerves @ Excision @ Dura Mater @ Percutaneous @ No Device @ No Qualifier,4180186
4168462,Epinephelus striatus (organism),4180186
4168462,Nassau grouper,4180186
37020516,Patient Reported Outcomes Information System; Point in time; promise; QNT; Quan; Quant; Quantitative; Random; Scale; Survey; SURVEY.PROMIS,4180186
45765165,Pacing/defibrillation lead extraction wrap (physical object),4180186
2722765,"Extirpation of Matter from Abducen Nrv, Perc Endo Approach",4180186
2722765,Medical and Surgical @ Central Nervous System and Cranial Nerves @ Extirpation @ Abducens Nerve @ Percutaneous Endoscopic @ No Device @ No Qualifier,4180186
40486536,Chevron osteotomy (procedure),4180186
46199009,Mediven harmony class 1 (15-21mmHg) glove lymphoedema garment size VII Beige (Medi UK Ltd) 1 device (physical object),4180186
4289830,Chronic duodenal ulcer with hemorrhage AND perforation (disorder),4180186
4289830,Chronic duodenal ulcer with haemorrhage AND perforation,4180186
2775851,"Supplement Right Hip Joint with Synth Sub, Perc Approach",4180186
2775851,"Medical and Surgical @ Lower Joints @ Supplement @ Hip Joint, Right @ Percutaneous @ Synthetic Substitute @ No Qualifier",4180186
42528861,CT Ribs-R WO contr,4180186
42528861,c; CAT scan; Computed tomography; Computerized tomography; Contr; Contra; Contrst; CT scan; Document; Finding; Findings; Imaging; Point in time; R; Radiology; Random; Ribs-R; RT; Thorax; without contrast,4180186
42528861,sñÜs¦é^S+ìTççtö¿s»¦µ»ösëé:sÅætÄ¦:µù¦Tù¦té¦:Fâ+Tâ¿>FéïT¬¿.sÅ¦S+º:µûçµíúsPï:CT,4182948
45996993,Ultramax ileostomy bag 53416 16mm Opaque (Marlen USA) (physical object),4180186
3031679,Borrelia Ab Titr Ser,4180186
3031679,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Dilution factor; Dilution Factor (Titer); Lyme; Lyme disease; Microbiology; Point in time; QNT; Quan; Quant; Quantitative; Random; Relapsing fever; Serum; species; spp; SR; Titer; Titered; Titre; Ttr,4180186
3031679,tûÅFP¦µùïS+ôs¦P µèùS+ô:µ+¦s«Üs¦ª:µù¦Tù¦té¦:FíÇµ+à:s«ÜTçÅsPï,4182948
45541101,"Puncture wound without foreign body, unsp foot, subs encntr",4180186
4252370,Public health dentistry (qualifier value),4180186
4252370,Public health dental,4180186
2752092,Medical and Surgical @ Mouth and Throat @ Excision @ Pharynx @ Percutaneous @ No Device @ No Qualifier,4180186
46210693,Haddenham Veni class 2 (23-32mmHg) below knee closed toe lymphoedema garment regular size III Navy (Haddenham Healthcare Ltd) 2 device (physical object),4180186
45764036,Anaesthesia/respiratory gas flowmeter tester,4180186
45764036,Anesthesia/respiratory gas flowmeter tester (physical object),4180186
4054502,Neoplasm of chest wall (disorder),4180186
40172239,"Olea europaea pollen extract 10,000 UNT/ML Injectable Solution",4180186
37387421,Shiley reusable spare inner cannula (short term use) 4SIC (Healthcare 21) (physical object),4180186
4164855,Allergy to industrial methylated spirit (finding),4180186
4164855,Industrial methylated spirit allergy,4180186
3038135,Macroglob SerPl-mCnc,4180186
3038135,Chemistry; Level; Macroglob; Macroglobn; Macroglobulins; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,4180186
3038135,s+¿tÉâF¢ïtÖ+:F¦¿TçÅµ¦ôs¦ª:µù¦Tù¦té¦:FíÇµ+à/FíÇµ¦å:s«ÜTçÅsPï,4182948
4032602,Cytotoxic drug-induced hypospermatogenesis (disorder),4180186
4032602,Chemotherapy-induced hypospermatogenesis,4180186
40768025,Lu 14 Ab SerPl Ql,4180186
40768025,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; BLOOD BANK; Left; Levo; Lu 14; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR,4180186
40768025,Lu 14 µèùS+ô:s¡ÿs£¿µâàså¦µêûTÿêsÇ+:µù¦Tù¦té¦:FíÇµ+à/FíÇµ¦å:s¦Åµò¦sPï,4182948
37008684,HydroTac Comfort dressing (adhesive) 20cm x 20cm (Paul Hartmann Ltd) (physical object),4180186
4093085,C6 foramen transversarium (body structure),4180186
1573023,Unsp injury of blood vessels at shoulder and upper arm level,4180186
2723159,Medical and Surgical @ Central Nervous System and Cranial Nerves @ Repair @ Cerebellum @ Open @ No Device @ No Qualifier,4180186
4295423,Serous membrane,4180186
4295423,Serous membrane structure (body structure),4180186
4295423,Tunica serosa,4180186
4295423,Serosa,4180186
46037515,Sigvaris Essential Comfortable class 2 (23-32mmHg) thigh length closed toe lymphoedema garment long extra small plus Skin (Sigvaris Britain Ltd) (physical object),4180186
3051736,Finding; Findings; GDS Survey; Geriatric Depression Scale; Ordinal; Point in time; QL; Qual; Qualitative; Random; Screen; Survey,4180186
4255167,Platelet neutralisation procedure correction,4180186
4255167,Platelet neutralization procedure correction (procedure),4180186
36709480,Juzo Dynamic class 3 (34-46mmHg) thigh length open toe with silicone top band lymphoedema garment wide standard size III Blueberry (Juzo UK Ltd) 2 device (physical object),4180186
36691748,Venoflex Micro class 1 (18-21mmHg) thigh length open toe with dotted silicone band lymphoedema garment plus long size 1 Black (Thuasne UK Ltd) (physical object),4180186
4268769,Loom threader (machine) (occupation),4180186
4191824,Posttraumatic choroid scar (disorder),4180186
40757451,Octanoylcarn/Creat Ur-sRto,4180186
40757451,F+¢Tà¦Féëtó¦ (C8)/FéîTàÉ:të¬F¦¿tÜäTçÅµ»ötÄç:µù¦Tù¦té¦:s¦+µ¦¦:s«ÜTçÅsPï,4182948
40757451,C8; Chemistry; CR; Crea; Creat; Point in time; QNT; Quan; Quant; Quantitative; Random; Scrto; Substance concentration ratio; Substance ratio; UA; UCr; UR; Urn,4180186
2781205,"Medical and Surgical @ Male Reproductive System @ Drainage @ Testis, Left @ Percutaneous Endoscopic @ No Device @ No Qualifier",4180186
4194194,Matted hair (disorder),4180186
4194194,Hair matting,4180186
4194194,Matting of scalp hair,4180186
37395360,Training for access to educational opportunities (procedure),4180186
2736592,"Medical and Surgical @ Upper Veins @ Drainage @ Vertebral Vein, Right @ Percutaneous @ No Device @ No Qualifier",4180186
4031630,Inverse pattern atopic dermatitis (disorder),4180186
3039985,ABS; Aby; Agf77; Allergen; Allergens; ALLERGY TESTING; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; B; B-Lactoglob; B-Lactoglob IgG; f077; f77; Immune globulin G; Immunoglobulin G; nBos d 5; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serum; SR,4180186
3039985,B-Lactoglob IgG Ql,4180186
3039985,Beta S¦¦tÉâF¢ïtÖ+ µèùS+ô.IgG:s¡ÿs£¿µâàså¦µêûTÿêsÇ+:µù¦Tù¦té¦:FíÇµ+à:s¦Åµò¦sPï,4182948
4220917,Vasculotropin,4180186
4220917,Vascular endothelial growth factor (substance),4180186
46204262,Jobst UltraSheer class 1 (18-21mmHg) thigh length closed toe with lace silicone band lymphoedema garment wide regular size VI Caramel (BSN medical Ltd) 2 device (physical object),4180186
44784552,Victim of cataclysmic earth movements caused by earthquake (finding),4180186
2748777,Medical and Surgical @ Gastrointestinal System @ Dilation @ Transverse Colon @ Open @ No Device @ No Qualifier,4180186
46013313,VaQua catheter male 8Ch VAQ08M (Tyco Healthcare) (physical object),4180186
36712917,Wickerhamomyces subpelliculosus (organism),4180186
36712917,Wickerhamomyces subpeliculosa,4180186
36712917,Pichia subpelliculosa,4180186
36712917,Wickerhamomyces subpelliculosa,4180186
37396398,Nephrogenic diabetes insipidus and intracranial calcification syndrome,4180186
37396398,Nephrogenic diabetes insipidus and intracranial calcification syndrome (disorder),4180186
42707670,Cepacol Sore Throat Pain Relief 15/2.6 (benzocaine / menthol) Oral Lozenge,4180186
42707670,Cepacol Sore Throat Pain Relief 15/2.6 Oral Lozenge,4180186
3014372,ABS; Aby; Allergen; Allergens; ALLERGY TESTING; Antby; Anti; Antibodies; Antibody; Arbitrary concentration; Autoantibodies; Autoantibody; f384; Immune globulin E; Immunoglobulin E; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR,4180186
3014372,tÖ+T¦æ µèùS+ô.IgE:S++µäÅsPïµ¦ôs¦ª:µù¦Tù¦té¦:FíÇµ+à:s«ÜTçÅsPï,4182948
3014372,Whitefish IgE Qn,4180186
45598105,"Strain extn musc/fasc/tend at forarm lv, unsp arm, sequela",4180186
4271794,Leg bags sterile (physical object),4180186
4128298,Via distal duct (qualifier value),4180186
46028763,Altiven class 1 (18-21mmHg) below knee open toe lymphoedema garment short size VII Black (Altimed Ltd) (physical object),4180186
2793734,Radiation Therapy @ Respiratory System @ Beam Radiation @ Bronchus @ Neutron Capture @ None @ None,4180186
46044247,Haddenham Star Cotton class 2 (23-32mmHg) thigh length open toe with grip top lymphoedema garment short size VII Black (Haddenham Healthcare Ltd) (physical object),4180186
45607492,"Nondisp fx of olecran pro w intartic extn unsp ulna, 7thC",4180186
37117272,Tetraploidy (disorder),4180186
4295789,Cold burn - liquid nitrogen (disorder),4180186
46178120,Credalast Circular Knit (one way stretch) class III cotton anklet standard stock size Extra large Beige (Credenhill Ltd) 2 stocking (physical object),4180186
2779411,"Restriction of Cervix with Intralum Dev, Perc Approach",4180186
2779411,Medical and Surgical @ Female Reproductive System @ Restriction @ Cervix @ Percutaneous @ Intraluminal Device @ No Qualifier,4180186
45757429,History of pathological hip fracture (situation),4180186
2757351,"Drain L Low Arm & Wrist Muscle w Drain Dev, Perc",4180186
2757351,"Medical and Surgical @ Muscles @ Drainage @ Lower Arm and Wrist Muscle, Left @ Percutaneous @ Drainage Device @ No Qualifier",4180186
46203192,Juzo Soft class 2 (23-32mmHg) thigh length open toe lymphoedema garment short size II Sesame (Juzo UK Ltd) 2 device (physical object),4180186
4306637,Psychiatric commitment procedure (procedure),4180186
4141122,"Labyrinthectomy, transcanal (procedure)",4180186
37009379,Juzo Soft class 2 (23-32mmHg) below knee closed toe with silicone top band lymphoedema garment extra short size II Poppy seed (Juzo UK Ltd) (physical object),4180186
21492537,D2HG + L2HG pattern Amn-Imp,4180186
21492537,D-2-t+ƒsƒ¦µêèS¦îTà+S+Ä L-2-t+ƒsƒ¦µêèS¦îTà+µ¿ís+Å:sì¦F¦í:µù¦Tù¦té¦:t+èµ¦¦:sÅÖF+¦sPï,4182948
21492537,2-hydroxy-glutarate; 2-hydroxyglutaric acid; 2OH-gluterate; AF; alpha-Hydroxyglutarate; alpha-Hydroxyglutaric acid; Amn; Amn fl; Amnio; Amniotic flu; Amniotic fluid; Chemistry; D2HG + L2HG pattern; Dextro; Hydroxyglutaric aciduria; II; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; L2HG; L-2-HG; L2HGA; L-2-HGA; Left; Levo; Narrative; Point in time; Random; Report; Rh; Rhesus,4180186
3029325,Blast; BM; BON; Bone marrow; CD16 Blasts; CELL MARKERS; Leu11; Leu-11; Leu11b; Leu-11B; MAR; Marrow (bone); minimal angle of resolution; Minimum angle of resolution; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random,4180186
3029325,s¦+t¿Üt+åFâP.CD16/100 S+¬s¦+t¿Üt+åFâP:F«íµò¦sPïsêåµò¦:µù¦Tù¦té¦:T¬¿T½ô:s«ÜTçÅsPï,4182948
3029325,CD16 Blasts NFr Mar,4180186
2747983,Medical and Surgical @ Gastrointestinal System @ Destruction @ Ascending Colon @ Percutaneous @ No Device @ No Qualifier,4180186
4209877,SN test,4180186
4209877,Serum neutralisation test,4180186
4209877,Serum neutralization test (procedure),4180186
40766815,Dynamic; Finding; Findings; Nominal; PhenX; Point in time; Random,4180186
40766815,s¦¦sÇ+sæ+µ¦öµ¦üTçÅs¦¥F»ò:sÅætÄ¦:µù¦Tù¦té¦:^µéúFÇà:sÉìS¦ësPï,4182948
3047688,sñÜTçìFºås¢+ sëìsÉÄS+ì + S+ºS+ì + SunriseF+¦S+ì:sÅætÄ¦:µù¦Tù¦té¦:S+ïFéó.s+ªS+º>T½îT¬¿:µûçµíúsPï:Xs¦ät¦+µæäs+¦µ£»,4182948
3047688,Anterio-Posterior; Anteroposterior; AP+Lat; AP+Lat+Sunrise; Document; EXT; Extr-L; Films; Finding; Findings; Imaging; L; Lat; LE; Leg; LE-L; LLE; Low; LT; Patella-L; Plain Films; Point in time; Radiology; Random; Settegast; Skyline; Tangential; View; Views & AP KUB; Views (AP; Views AP KUB & lateral; Views AP+lateral; Views+AP; VWS; Xray; X-ray,4180186
3047688,XR Patella-L AP+Lat+Sunrise,4180186
37399077,Haemoglobin D level (observable entity),4180186
46008717,Uri-Drain urinal system LU18/27.5 27.5mm (Charles S. Bullen Stomacare Ltd) (physical object),4180186
45554004,"Complete lesion at unsp level of thor spinal cord, sequela",4180186
40173211,Chenopodium ambrosioides pollen extract,4180186
46176637,Sigvaris Essential Comfortable class 2 (23-32mmHg) thigh length open toe with waist attachment lymphoedema garment short large right Black (Sigvaris Britain Ltd) 1 device (physical object),4180186
44507890,EDX-1000 10 MG/ML Topical Solution,4180186
44507890,EDX-1000 1 % Topical Solution,4180186
4028144,Cheese pudding (substance),4180186
4206622,Right middle lobe mucus (substance),4180186
4253342,Pottery and porcelain caster (hand) (occupation),4180186
46279695,Sigvaris Essential Thermoregulating class 3 (34-46mmHg) thigh length closed toe with waist attachment lymphoedema garment normal XX small left plus Black (Sigvaris Britain Ltd) (physical object),4180186
4156934,On examination - per rectum - prostatic swelling,4180186
4156934,On examination - per rectum - prostatic swelling (finding),4180186
1592916,chondroitin sulfates 1200 MG / glucosamine HCl 1500 MG per 30 ML Oral Suspension,4180186
439287,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of axilla and upper limb (disorder)",4180186
439287,"Hodgkin disease, lymphocytic-histiocytic predominance of lymph nodes of axilla and upper limb",4180186
44783728,Food fortification advice,4180186
44783728,Food fortification education (procedure),4180186
4346743,Tc99m mixed leukocyte study (procedure),4180186
4346743,Tc99m mixed leucocyte study,4180186
4346743,Tc99m white blood cell scan,4180186
4027702,Congenital lens anomaly,4180186
4027702,Congenital malformation of lens,4180186
4027702,Congenital anomaly of lens (disorder),4180186
4030357,Drug-induced hypokalemia (disorder),4180186
4030357,Drug-induced hypokalaemia,4180186
46059974,Juzo Hostess class 2 (23-32mmHg) thigh length closed toe with wide silicone top band lymphoedema garment short size IV Cinnamon (Juzo UK Ltd) (physical object),4180186
36710278,Mobiderm Autofit armsleeve with gauntlet lymphoedema garment normal size 2 right Beige (Thuasne UK Ltd) 1 device (physical object),4180186
46215749,Juzo Dynamic Cotton class 2 (23-32mmHg) thigh length open toe with silicone top band lymphoedema garment standard size III Almond (Juzo UK Ltd) 2 device (physical object),4180186
45587384,"Labor and del comp by oth cord entangle, w comprsn, unsp",4180186
46167929,Altiven class 2 (23-32mmHg) armsleeve with grip top and elbow pocket lymphoedema garment regular size I Black (Altimed Ltd) 1 device (physical object),4180186
4016050,Diabetic annual review (regime/therapy),4180186
4126915,Oral mucous cyst,4180186
4126915,Mucocele of mouth (disorder),4180186
4102518,Thoracolumbar spina bifida with hydrocephalus - closed (disorder),4180186
4284097,"Hb 43(CE1), Phe-val",4180186
4284097,Haemoglobin Torino,4180186
4284097,Hemoglobin Torino (substance),4180186
46200302,Jobskin MTM Premium class 3 (34-46mmHg) foot glove lymphoedema garment FP0538-3 Beige (Jobskin Ltd) 1 device (physical object),4180186
36674974,"Intellectual disability, short stature, hypertelorism syndrome (disorder)",4180186
36674974,Stoll Geraudel Chauvin syndrome,4180186
37396128,Spinocerebellar ataxia type 29 (disorder),4180186
37396128,Congenital nonprogressive spinocerebellar ataxia,4180186
4200861,"Hb 63(E12), Ala-asp",4180186
4200861,Hemoglobin Pontoise (substance),4180186
4200861,Haemoglobin Pontoise,4180186
37109457,Magnetic resonance imaging of fibula (procedure),4180186
37109457,Magnetic resonance imaging of fibula,4180186
19024760,Caplenal 300 MG Oral Tablet,4180186
45890771,No card tamp e/in 30d,4180186
3016693,Fç¦tùàµÇºTÆ¬t½»FP¦µùïS+ô µèùS+ô:S++µäÅsPïµ¦ôs¦ª:µù¦Tù¦té¦:FíÇµ+à:s«ÜTçÅsPï,4182948
3016693,ABS; Aby; Antby; Anti; Antibodies; Antibody; Arbitrary concentration; Autoantibodies; Autoantibody; L inter; L interrogans; Leptospirosis; Microbiology; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR,4180186
3016693,L inter Ab Ser-aCnc,4180186
37113084,Entire inferior tympanic membrane (body structure),4180186
4092244,Fibrovascular (qualifier value),4180186
4271840,Calicophoron cauliorchis (organism),4180186
4062269,Cerebral venous thrombosis in pregnancy (disorder),4180186
4274103,Pimephales tenellus (organism),4180186
4274103,Slim minnow,4180186
4147007,Open dislocation atlanto-occipital joint (disorder),4180186
4092926,Foramen transversarium of axis (body structure),4180186
46203535,Juzo Soft class 2 (23-32mmHg) thigh length open toe with wide silicone top band lymphoedema garment short size I Sesame (Juzo UK Ltd) 2 device (physical object),4180186
376969,Orofacial dyskinesia (disorder),4180186
36716057,Structure of right orbit proper (body structure),4180186
993993,Ovide 0.5 % Topical Lotion,4180186
993993,Ovide 5 MG/ML Topical Lotion,4180186
45770712,Influenza B virus ribonucleic acid detection assay (procedure),4180186
2739510,"Medical and Surgical @ Ear, Nose, Sinus @ Alteration @ External Ear, Left @ Open @ Autologous Tissue Substitute @ No Qualifier",4180186
2739510,"Alteration of L Ext Ear with Autol Sub, Open Approach",4180186
4046814,Structure of Bruch's basal membrane (body structure),4180186
4046814,Structure of Bruch basal membrane,4180186
4046814,Bruch's basal membrane,4180186
4131789,Invalidism (finding),4180186
4131789,Invalid,4180186
4143722,Closure of fistula of major salivary gland (procedure),4180186
3032562,sÄésòåF+»S+¦tëêµ£¼:µáçF»åt¼ª:µù¦Tù¦té¦:FíÇµ¦¦sç¥s¢¦Fúàt+«:sÉìS¦ësPï,4182948
3032562,Blood Coagulation Device Software vers,4180186
3032562,Ident; Identifier; Nominal; Point in time; Random,4180186
4052839,Lateral sacrococcygeal ligament,4180186
4052839,Structure of lateral sacrococcygeal ligament (body structure),4180186
44805150,Coeliac disease monitoring telephone invitation (procedure),4180186
37108854,Computed tomography of pelvis and left hip,4180186
37108854,Computed tomography of pelvis and left hip (procedure),4180186
2786770,Measurement and Monitoring @ Physiological Systems @ Measurement @ Arterial @ Percutaneous @ Pulse @ Coronary,4180186
2786770,"Measurement of Arterial Pulse, Coronary, Perc Approach",4180186
37020901,Finding; Findings; Last; Ordinal; Patient Reported Outcomes Information System; promise; QL; Qual; Qualitative; Screen; Survey; SURVEY.PROMIS,4180186
19132754,"Pancreatic EC 4 (amylase 12,000 UNT / lipase 4000 UNT / protease 12,000 UNT) Delayed Release Oral Capsule",4180186
19132754,"Pancreatic EC 4 (amylases 12,000 UNT / lipase 4000 UNT / endopeptidases 12,000 UNT) Delayed Release Oral Capsule",4180186
37389888,Juzo Hostess class 2 (23-32mmHg) thigh length open toe lymphoedema garment extra short size IV Sugar (Juzo UK Ltd) 2 device (physical object),4180186
2834284,"Medical and Surgical @ Lower Veins @ Repair @ Lesser Saphenous Vein, Right @ Percutaneous Endoscopic @ No Device",4180186
3017611,C&S; Cult; Cultures; Identity or presence; Isolated; Microbiology; Misc; Miscellaneous; Myco; Mycoplas; Mycoplasm; Mycoplasmosis; Mycoplsm; Nominal; Other; Point in time; Random; Spec; species; spp; To be specified in another part of the message; Unspecified,4180186
3017611,Mycoplasma XXX Cult,4180186
